Theme,Opportunity Space,Year Founded,Maturity,Website,Business Description,Funding Stage,Total funding (US$),Country,Company Name
"Infrastructure, vessel & Asset efficiency",Drones,2011,Existing,https://volocopter.com,Electric copters for urban mobility,Series C,"186,444,570",Germany,Volocopter
CO2 Transparency,Blockchain For CO2 Provenance,2016,Emerging,https://voltmarkets.com,Distribution marketplace for Decentralized RECs,Seed,,USA,Volt Markets
Data & AI,Demand & Supply Prediction,2016,Existing,https://vortexa.com,Provider of artificial intelligence based data processing service,Series A,"10,018,700",England,Vortexa
Data & AI,Fleet Utilization,2018,Existing,https://voyagerportal.com,Workflow management solutions for the maritime shipping industry,funded,,USA,Voyager
Fuel & Efficiency,New Fuel Types,2017,Emerging,https://w7energy.com,Hydrogen based fuel cell technology solutions provider,Seed,"1,000,000",USA,W7energy
"Infrastructure, vessel & Asset efficiency",Crew Incentivisation,2015,Emerging,https://walaplus.com,Employee appreciation software,Seed,"600,000",Saudi Arabia,WalaPlus
Fuel & Efficiency,New Fuel Types,2010,Existing,https://wattfuelcell.com,Develops and manufactures solid oxide fuel cell (SOFC) systems,Series B,"6,000,000",USA,Watt Fuel Cell
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2016,Emerging,https://wavefoil.com,Wavefoil - Retractable bow foils,funded,,,Wavefoil
Business Model Innovation,Switching Transport Mode,2015,Emerging,https://wayfindercorp.com,Proppant supplier for hydraulic fracturing,Funded,"2,460",Canada,Wayfinder
Data & AI,Vessel Flow Efficiency,2016,Emerging,https://we4sea.com,SaaS-based fuel monitoring solutions for marine industry,Seed,"426,688",Netherlands,We4Sea
CO2 Transparency,CO2 Tracking,2014,Existing,https://wenow.com,Provider of connected driving solutions for increased fuel efficiency,Seed,"1,445,050",France,WeNow
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2013,Existing,https://windshiptechnology.com/,sail powered shipping,,,England,Windship technology
Data & AI,Fleet Utilization,2010,Distant,https://wnwd.com,Maritime data analytics platform,Series C,"38,900,000",Israel,Windward
Data & AI,Digital twin,2010,Emerging,https://wrld3d.com,Develops 3D mapping platform,Series B,,England,WRLD
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2012,Existing,https://xstreamtrucking.com,Aerodynamic solution for the trucking industry,Series A,"10,500,000",USA,XStream Trucking
Business Model Innovation,Freight Orchestration,2017,Emerging,https://yoofreight.com,Tech-enabled digital freight forwarder,Funded,,England,YooFreight
Data & AI,Fleet Utilization,2012,Existing,https://yunce56.com,Mobile app based freight transport marketplace,Series A,"10,000,000",China,Yuncewang
Business Model Innovation,Freight Orchestration,2015,Emerging,https://yunlsp.com,B2B international logistics marketplace,Seed,"1,600,000",China,Yunlsp
Data & AI,Vessel Operations Optimization,2013,Emerging,https://ymm56.com,Freight logistics marketplace,Series D,"235,000,000",China,Yunmanman
Business Model Innovation,Freight Orchestration,2014,Existing,https://yunquna.com,Freight forwarders marketplace,Series C,"102,359,110",China,Yunquna
Fuel & Efficiency,New Vessel Design,2010,Existing,https://yunzhou-tech.com,Developer of unmanned ships,Series C,"82,710,816",China,Yunzhou Technology
Business Model Innovation,Freight Orchestration,2017,Emerging,https://zencargo.com,Online freight forwarding platform,Series A,"23,694,100",England,Zencargo
Fuel & Efficiency,New Fuel Types,2018,Emerging,https://zenopowersystems.com,Developer of radioisotope power system to convert heat from recycled nuclear waste into electricity,Seed,,USA,Zeno Power Systems
Business Model Innovation,Freight Orchestration,2015,Emerging,https://zhao-chuan.com,Online marketplace for freight owners and freight shippers,Seed,,China,Zhao-chuan
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2011,Existing,https://jadetrack.com,Sustainability Performance Management,Seed,,United States,JadeTrack
"Carbon CS, offsetting & trading",CO2 Trading/Offsetting/Exchange,2016,Existing,https://fishyfilaments.com,Recycling marine plastics into 3D printing filament,Seed,,United Kingdom,Fishy Filaments
